iter	Passed	Remaining
0	141	141264
1	145	72703
2	149	49845
3	153	38316
4	155	30987
5	157	26068
6	159	22559
7	160	19923
8	162	17869
9	164	16264
10	166	14944
11	168	13835
12	169	12895
13	171	12090
14	173	11395
15	175	10783
16	177	10261
17	179	9782
18	181	9350
19	182	8935
20	183	8560
21	184	8216
22	186	7903
23	187	7609
24	188	7334
25	189	7092
26	190	6860
27	191	6645
28	192	6440
29	193	6250
30	194	6072
31	195	5902
32	196	5744
33	196	5594
34	197	5455
35	198	5321
36	199	5195
37	200	5076
38	201	4962
39	202	4853
40	203	4750
41	204	4655
42	205	4563
43	206	4476
44	206	4390
45	208	4322
46	209	4246
47	210	4174
48	211	4104
49	212	4035
50	213	3969
51	214	3907
52	215	3847
53	216	3789
54	217	3734
55	218	3679
56	219	3625
57	220	3575
58	221	3524
59	221	3475
60	222	3429
61	223	3385
62	224	3340
63	225	3301
64	226	3260
65	227	3219
66	228	3180
67	228	3136
68	229	3099
69	230	3063
70	231	3028
71	232	2994
72	233	2961
73	234	2929
74	235	2898
75	235	2867
76	236	2837
77	237	2808
78	238	2779
79	239	2752
80	240	2725
81	241	2698
82	241	2673
83	242	2647
84	243	2620
85	244	2596
86	244	2570
87	245	2547
88	246	2525
89	247	2506
90	248	2484
91	249	2463
92	250	2443
93	251	2422
94	252	2402
95	253	2382
96	253	2363
97	254	2346
98	255	2327
99	256	2309
100	257	2292
101	257	2271
102	258	2254
103	259	2237
104	260	2221
105	261	2208
106	262	2192
107	263	2176
108	264	2161
109	265	2146
110	266	2131
111	267	2117
112	267	2102
113	268	2088
114	269	2074
115	270	2060
116	271	2046
117	272	2033
118	272	2019
119	273	2006
120	274	1993
121	275	1981
122	275	1967
123	276	1955
124	277	1943
125	278	1931
126	279	1920
127	279	1906
128	280	1895
129	281	1884
130	282	1873
131	283	1863
132	284	1852
133	285	1842
134	285	1831
135	286	1821
136	287	1811
137	288	1800
138	289	1791
139	290	1782
140	291	1772
141	291	1763
142	292	1754
143	293	1745
144	294	1737
145	295	1728
146	296	1719
147	297	1711
148	298	1702
149	298	1694
150	299	1685
151	300	1677
152	301	1669
153	302	1661
154	303	1653
155	304	1646
156	305	1640
157	307	1636
158	308	1631
159	309	1623
160	310	1616
161	310	1608
162	311	1601
163	312	1594
164	313	1586
165	314	1579
166	315	1572
167	316	1565
168	316	1558
169	317	1552
170	318	1546
171	319	1539
172	320	1533
173	321	1526
174	322	1519
175	323	1513
176	324	1507
177	325	1501
178	325	1494
179	326	1488
180	327	1480
181	328	1474
182	328	1468
183	329	1462
184	330	1456
185	331	1450
186	332	1444
187	333	1439
188	334	1433
189	334	1427
190	335	1422
191	336	1416
192	337	1411
193	338	1406
194	339	1400
195	340	1395
196	341	1390
197	341	1384
198	342	1379
199	343	1374
200	344	1369
201	345	1364
202	346	1358
203	347	1354
204	347	1349
205	348	1344
206	349	1339
207	350	1334
208	351	1329
209	352	1325
210	353	1320
211	353	1315
212	354	1310
213	355	1306
214	356	1301
215	357	1297
216	358	1292
217	359	1288
218	359	1283
219	360	1279
220	361	1275
221	362	1271
222	363	1266
223	364	1262
224	365	1258
225	366	1254
226	367	1250
227	367	1245
228	368	1241
229	369	1237
230	370	1233
231	371	1229
232	372	1225
233	373	1221
234	374	1217
235	374	1213
236	375	1209
237	376	1205
238	377	1202
239	378	1198
240	379	1194
241	380	1190
242	380	1186
243	381	1182
244	382	1179
245	383	1175
246	384	1171
247	385	1168
248	386	1164
249	386	1160
250	387	1157
251	388	1153
252	389	1149
253	390	1146
254	391	1143
255	392	1139
256	393	1136
257	393	1132
258	394	1129
259	395	1125
260	396	1122
261	397	1119
262	398	1115
263	398	1112
264	399	1108
265	400	1105
266	401	1102
267	402	1099
268	403	1095
269	404	1092
270	404	1089
271	405	1086
272	406	1082
273	407	1079
274	408	1076
275	409	1073
276	410	1070
277	410	1067
278	411	1064
279	412	1061
280	413	1058
281	414	1055
282	415	1052
283	416	1049
284	417	1046
285	418	1044
286	419	1041
287	420	1038
288	420	1035
289	421	1032
290	422	1029
291	423	1027
292	424	1024
293	425	1021
294	426	1018
295	426	1015
296	427	1012
297	428	1009
298	429	1007
299	430	1004
300	431	1002
301	432	999
302	433	997
303	434	994
304	435	992
305	436	989
306	437	986
307	437	983
308	438	981
309	439	978
310	440	975
311	441	972
312	442	970
313	442	967
314	443	965
315	444	962
316	445	960
317	446	957
318	447	955
319	448	952
320	449	950
321	450	947
322	450	945
323	451	942
324	452	940
325	453	937
326	454	935
327	455	932
328	456	930
329	457	927
330	457	925
331	458	923
332	459	920
333	460	918
334	461	916
335	462	914
336	463	911
337	464	909
338	465	906
339	466	904
340	466	902
341	467	899
342	468	897
343	469	895
344	470	892
345	471	890
346	472	888
347	472	886
348	473	883
349	474	881
350	475	879
351	476	876
352	477	874
353	478	872
354	479	870
355	479	868
356	480	865
357	481	863
358	482	861
359	483	859
360	484	857
361	485	854
362	485	852
363	486	850
364	487	848
365	488	846
366	489	844
367	490	841
368	491	839
369	492	837
370	492	835
371	493	833
372	494	831
373	495	829
374	496	827
375	497	825
376	498	823
377	498	821
378	499	819
379	500	816
380	501	814
381	502	813
382	503	811
383	504	808
384	505	806
385	506	804
386	506	802
387	507	800
388	508	798
389	509	796
390	510	794
391	511	792
392	511	790
393	512	788
394	513	786
395	514	784
396	515	782
397	516	780
398	517	778
399	517	776
400	518	775
401	519	773
402	520	771
403	521	769
404	522	767
405	523	765
406	524	763
407	524	761
408	525	759
409	526	757
410	527	755
411	528	753
412	529	752
413	529	750
414	530	748
415	531	746
416	532	744
417	533	742
418	534	741
419	535	739
420	536	737
421	537	735
422	538	733
423	538	732
424	539	730
425	540	728
426	541	726
427	542	724
428	543	722
429	544	721
430	545	719
431	545	717
432	546	716
433	547	714
434	548	712
435	549	710
436	550	708
